Code,LocalAuthority,Year,Indicator,Numerator,Denominator
C&L01,Glasgow City,2016-17,4.84,28785,5944539
C&L01,Glasgow City,2017-18,4.75,28588,6023536
C&L01,Glasgow City,2018-19,4.47,29601,6618563
C&L01,Glasgow City,2019-20,4.94,32533.552,6585200
C&L01,Glasgow City,2020-21,223.61,45258,202401
C&L01,Glasgow City,2021-22,17.02,41782,2454446
C&L01,Glasgow City,2022-23,12.26,45850,3738577
C&L01,Glasgow City,2023-24,9.41,43966,4671584
C&L01,Glasgow City,2024-25,6.88,32947.1742,4789999
C&L01,Highland,2010-11,3.33,7272,2185899
C&L01,Highland,2011-12,2.85,6931,2435502
C&L01,Highland,2012-13,2.47,6306,2547935
C&L01,Highland,2013-14,1.63,4041,2474713
C&L01,Highland,2014-15,1.86,4670,2504495
C&L01,Highland,2015-16,1.71,4531,2657454
C&L01,Highland,2016-17,1.62,3848,2373160
C&L01,Highland,2017-18,1.68,4121,2457138
C&L01,Highland,2018-19,1.56,3898,2505951
C&L01,Highland,2019-20,1.8,4395,2441668
C&L01,Highland,2020-21,24.99,6139,245631
C&L01,Highland,2021-22,6.73,7327,1088387
C&L01,Highland,2022-23,3.74,6813,1821927
C&L01,Highland,2023-24,3.1,5769,1861394
C&L01,Highland,2024-25,2.55,5333,2092604
C&L01,Inverclyde,2010-11,1.44,1595,1105023
C&L01,Inverclyde,2011-12,1.69,1788,1054916
C&L01,Inverclyde,2012-13,1.93,1993,1034663
C&L01,Inverclyde,2013-14,2.21,2366,1068855
C&L01,Inverclyde,2014-15,1.52,1514,995994
C&L01,Inverclyde,2015-16,1.94,2135,1101136
C&L01,Inverclyde,2016-17,1.82,2255,1241874
C&L01,Inverclyde,2017-18,2.47,3023,1224384
C&L01,Inverclyde,2018-19,1.53,1916,1249521
C&L01,Inverclyde,2019-20,1.12,1371,1228918
C&L01,Inverclyde,2020-21,9.73,2788,286507
C&L01,Inverclyde,2021-22,2.77,2335,843841
C&L01,Inverclyde,2022-23,2.62,2252,858470
C&L01,Inverclyde,2023-24,2.38,2317,973695
C&L01,Inverclyde,2024-25,1.88,2026,1077626
C&L01,Midlothian,2010-11,3.68,3243,882358
C&L01,Midlothian,2011-12,2.53,2305,912657
C&L01,Midlothian,2012-13,3.36,3184,946814
C&L01,Midlothian,2013-14,2.78,2716,976428
C&L01,Midlothian,2014-15,2.99,2738,916836
C&L01,Midlothian,2015-16,3.37,3024,898145
C&L01,Midlothian,2016-17,3.55,3016,848940
C&L01,Midlothian,2017-18,4.29,3316,772633
C&L01,Midlothian,2018-19,3.39,3090,911515
C&L01,Midlothian,2019-20,3.12,2818,903770
C&L01,Midlothian,2020-21,91.81,5031,54800
C&L01,Midlothian,2021-22,19.41,2936,151242
C&L01,Midlothian,2022-23,17.88,3284,183674
C&L01,Midlothian,2023-24,12.32,3389,275157
C&L01,Midlothian,2024-25,7.79,4071,522491
C&L01,Moray,2010-11,2.08,1877,900956
C&L01,Moray,2011-12,2.21,2073,940070
C&L01,Moray,2012-13,2.41,2275,944557
C&L01,Moray,2013-14,2.18,2224,1020123
C&L01,Moray,2014-15,2.08,2113,1017866
C&L01,Moray,2015-16,1.82,1907,1047173
C&L01,Moray,2016-17,1.94,1986,1021562
C&L01,Moray,2017-18,1.91,1847,965299
C&L01,Moray,2018-19,1.98,1785,900451
C&L01,Moray,2019-20,-0.26,-280,1079299
C&L01,Moray,2020-21,18.71,2452,131035
C&L01,Moray,2021-22,2.66,1607,603654
C&L01,Moray,2022-23,2.44,1838,752366
C&L01,Moray,2023-24,1.8,1840,1022147
C&L01,Moray,2024-25,1.63,1745,1070931
C&L01,North Ayrshire,2010-11,4.01,4235,1056094
C&L01,North Ayrshire,2011-12,3.71,4248,1145035
C&L01,North Ayrshire,2012-13,2.69,3867,1435113
C&L01,North Ayrshire,2013-14,2.25,3638,1619486
C&L01,North Ayrshire,2014-15,2.15,3859,1798776
C&L01,North Ayrshire,2015-16,2.07,3955,1912728
C&L01,North Ayrshire,2016-17,3.32,6282,1893301
C&L01,North Ayrshire,2017-18,2.08,4596,2211795
C&L01,North Ayrshire,2018-19,1.74,3922,2252599
C&L01,North Ayrshire,2019-20,1.79,3922,2190902
C&L01,North Ayrshire,2020-21,50.35,5111,101504
C&L01,North Ayrshire,2021-22,11.47,5295,461508
C&L01,North Ayrshire,2022-23,6.36,4422,694893
C&L01,North Ayrshire,2023-24,8.4,6122,728937
C&L01,North Ayrshire,2024-25,7.2,5424,753266
C&L01,North Lanarkshire,2010-11,3.99,12033,3016037
C&L01,North Lanarkshire,2011-12,3.14,11224,3577930
C&L01,North Lanarkshire,2012-13,2.54,10641,4185756
C&L01,North Lanarkshire,2013-14,2.23,9709,4352549
C&L01,North Lanarkshire,2014-15,2.38,11352,4768726
C&L01,North Lanarkshire,2015-16,2.79,12482,4475255
C&L01,North Lanarkshire,2016-17,1.94,9545,4919402
C&L01,North Lanarkshire,2017-18,1.82,8387,4618902
C&L01,North Lanarkshire,2018-19,1.84,8221,4477460
C&L01,North Lanarkshire,2019-20,1.88,7844,4181092
C&L01,North Lanarkshire,2020-21,29.32,11447,390475
C&L01,North Lanarkshire,2021-22,3.16,5914,1873124
C&L01,North Lanarkshire,2022-23,3.8,10127,2664982
C&L01,North Lanarkshire,2023-24,3.83,10935,2852976
C&L01,North Lanarkshire,2024-25,2.81,9797,3488636
C&L01,Orkney Islands,2010-11,3.55,1200,337980
C&L01,Orkney Islands,2011-12,3.7,1250,338095
C&L01,Orkney Islands,2012-13,1.56,638,410240
C&L01,Orkney Islands,2013-14,1.18,521,442961
C&L01,Orkney Islands,2014-15,1.22,442,363191
C&L01,Orkney Islands,2015-16,1.41,541,382586
C&L01,Orkney Islands,2016-17,1.17,465,397546
C&L01,Orkney Islands,2017-18,1.07,468,435701
C&L01,Orkney Islands,2018-19,1.08,495,458413
C&L01,Orkney Islands,2019-20,1.21,532,440116
C&L01,Orkney Islands,2020-21,7.16,475,66358
C&L01,Orkney Islands,2021-22,2.68,574,214541
C&L01,Orkney Islands,2022-23,1.14,523,457764
C&L01,Orkney Islands,2023-24,1.41,615,435006
C&L01,Orkney Islands,2024-25,1.71,699,407671
C&L01,Perth & Kinross,2010-11,4.11,4569,1110912
C&L01,Perth & Kinross,2011-12,4.16,4947,1190237
C&L01,Perth & Kinross,2012-13,4.07,5237,1285232
C&L01,Perth & Kinross,2013-14,4.14,5151,1242760
C&L01,Perth & Kinross,2014-15,4.93,5797,1174840
C&L01,Perth & Kinross,2015-16,4.86,5583,1148433
C&L01,Perth & Kinross,2016-17,4.59,5359,1168272
C&L01,Perth & Kinross,2017-18,4.74,5481,1155806
C&L01,Perth & Kinross,2018-19,3.89,4978,1279454
C&L01,Perth & Kinross,2019-20,3.88,4695,1210000
C&L01,Perth & Kinross,2020-21,111.58,4982,44650
C&L01,Perth & Kinross,2021-22,9.72,4914,505394
C&L01,Perth & Kinross,2022-23,5.71,5414,948395
C&L01,Perth & Kinross,2023-24,5.79,5357,925986
C&L01,Perth & Kinross,2024-25,6.63,5292,798791
C&L01,Renfrewshire,2010-11,2.25,3647,1620261
C&L01,Renfrewshire,2011-12,2.25,3745,1664698
C&L01,Renfrewshire,2012-13,2.36,4249,1803281
C&L01,Renfrewshire,2013-14,3.04,7670,2522827
C&L01,Renfrewshire,2014-15,2.1,4316,2052232
C&L01,Renfrewshire,2015-16,2.01,4099,2044007
C&L01,Renfrewshire,2016-17,2.05,4951,2414456
C&L01,Renfrewshire,2017-18,2.08,4164,1999622
C&L01,Renfrewshire,2018-19,1.25,2698,2159628
C&L01,Renfrewshire,2019-20,1.61,2965,1844746
C&L01,Renfrewshire,2020-21,34.35,3590,104509
C&L01,Renfrewshire,2021-22,5.72,3852,672902
C&L01,Renfrewshire,2022-23,4.1,4194,1023793
C&L01,Renfrewshire,2023-24,4.42,4963,1123570
C&L01,Renfrewshire,2024-25,4.73,5207,1101775
C&L01,Scottish Borders,2010-11,3.16,2320,734048
C&L01,Scottish Borders,2011-12,2.62,2131,812833
C&L01,Scottish Borders,2012-13,2.72,2216,813847
C&L01,Scottish Borders,2013-14,3.67,2829,770596
C&L01,Scottish Borders,2014-15,3.05,2453,803766
C&L01,Scottish Borders,2015-16,3.16,2347,743355
C&L01,Scottish Borders,2016-17,3.58,2626,734266
C&L01,Scottish Borders,2017-18,3.76,2733,727654
C&L01,Scottish Borders,2018-19,3.09,2576,832575
C&L01,Scottish Borders,2019-20,2.43,2144,880875
C&L01,Scottish Borders,2020-21,28.12,2077,73870
C&L01,Scottish Borders,2021-22,3.77,1975,523845
C&L01,Scottish Borders,2022-23,2.96,2274,767261
C&L01,Scottish Borders,2023-24,2.14,1847,863972
C&L01,Scottish Borders,2024-25,2.19,1904,868613
C&L01,Shetland Islands,2010-11,0.88,522,594858
C&L01,Shetland Islands,2011-12,1.08,623,576424
C&L01,Shetland Islands,2012-13,1.44,818,568274
C&L01,Shetland Islands,2013-14,1.08,564,520779
C&L01,Shetland Islands,2014-15,1.06,541,512703
C&L01,Shetland Islands,2015-16,1.18,601,507509
C&L01,Shetland Islands,2016-17,1.09,586,538121
C&L01,Shetland Islands,2017-18,0.7,438,628097
C&L01,Shetland Islands,2018-19,0.7,460,654086
C&L01,Shetland Islands,2019-20,0.73,464,633374
C&L01,Shetland Islands,2020-21,2.74,526,192035
C&L01,Shetland Islands,2021-22,0.97,581,597714
C&L01,Shetland Islands,2022-23,0.97,628,649791
C&L01,Shetland Islands,2023-24,1.05,696,662233
C&L01,Shetland Islands,2024-25,0.98,679,690835
C&L01,South Ayrshire,2010-11,5.28,3973,752829
C&L01,South Ayrshire,2011-12,5.51,3848,698868
C&L01,South Ayrshire,2012-13,5.21,3774,723836
C&L01,South Ayrshire,2013-14,5.9,3833,649258
C&L01,South Ayrshire,2014-15,6.01,4041,672871
C&L01,South Ayrshire,2015-16,4.83,3447,714198
C&L01,South Ayrshire,2016-17,4.17,3172,760055
C&L01,South Ayrshire,2017-18,3.14,2846,905127
C&L01,South Ayrshire,2018-19,3.08,2791,905493
C&L01,South Ayrshire,2019-20,4,3243,810703
C&L01,South Ayrshire,2020-21,72.02,4377,60778
C&L01,South Ayrshire,2021-22,7.41,2867,386728
C&L01,South Ayrshire,2022-23,9.36,5604,598613
C&L01,South Ayrshire,2023-24,7.01,5369,766254
C&L01,South Ayrshire,2024-25,5.6,4443,792761
C&L01,South Lanarkshire,2010-11,3.76,10602,2820195
C&L01,South Lanarkshire,2011-12,3.36,10661,3173180
C&L01,South Lanarkshire,2012-13,2.34,7938,3399343
C&L01,South Lanarkshire,2013-14,2.33,8157,3502553
C&L01,South Lanarkshire,2014-15,2.2,7344,3337802
C&L01,South Lanarkshire,2015-16,2.23,7041,3155799
C&L01,South Lanarkshire,2016-17,2.21,6620,2992274
C&L01,South Lanarkshire,2017-18,2.3,6824,2964917
C&L01,South Lanarkshire,2018-19,2.5,7520,3004402
C&L01,South Lanarkshire,2019-20,2.77,7856,2838728
C&L01,South Lanarkshire,2020-21,52.67,10467,198726
C&L01,South Lanarkshire,2021-22,5.91,8974,1519368
C&L01,South Lanarkshire,2022-23,4.5,11299,2511940
C&L01,South Lanarkshire,2023-24,3.91,10797,2758350
C&L01,South Lanarkshire,2024-25,4.28,11170,2608331
C&L01,Stirling,2010-11,2.38,2272,954067
C&L01,Stirling,2011-12,2.12,1996,940802
C&L01,Stirling,2012-13,1.66,1868,1125889
C&L01,Stirling,2013-14,1.98,1801,910376
C&L01,Stirling,2014-15,2.08,1939,932596
C&L01,Stirling,2015-16,1.9,1954,1027323
C&L01,Stirling,2016-17,1.72,1965,1140765
C&L01,Stirling,2017-18,1.95,2326,1192884
C&L01,Stirling,2018-19,2.23,2283,1025143
C&L01,Stirling,2019-20,2.27,2467,1086404
C&L01,Stirling,2020-21,213.35,3589,16822
C&L01,Stirling,2021-22,14.57,3885,266655
C&L01,Stirling,2022-23,4.66,2650,568725
C&L01,Stirling,2023-24,4.91,2836,577221
C&L01,Stirling,2024-25,5.35,2949,551415
C&L01,West Dunbartonshire,2010-11,4.5,3614,803853
C&L01,West Dunbartonshire,2011-12,4.48,3373,752093
C&L01,West Dunbartonshire,2012-13,4.63,3471,749861
C&L01,West Dunbartonshire,2013-14,5.94,3861,649993
C&L01,West Dunbartonshire,2014-15,5.88,4418,750855
C&L01,West Dunbartonshire,2015-16,5.46,4463,816946
C&L01,West Dunbartonshire,2016-17,5.34,4165,780635
C&L01,West Dunbartonshire,2017-18,4.26,4140,971793
C&L01,West Dunbartonshire,2018-19,3.39,3453,1019710
C&L01,West Dunbartonshire,2019-20,3.34,3408,1020098
C&L01,West Dunbartonshire,2020-21,38.37,3422,89173
C&L01,West Dunbartonshire,2021-22,5.5,3450,626835
C&L01,West Dunbartonshire,2022-23,4.86,3687,759084
C&L01,West Dunbartonshire,2023-24,4.25,3604,847532
C&L01,West Dunbartonshire,2024-25,3.78,3733,987058
C&L01,West Lothian,2010-11,3.65,6861,1879323
C&L01,West Lothian,2011-12,3.69,6614,1791706
C&L01,West Lothian,2012-13,3.57,6709,1881595
C&L01,West Lothian,2013-14,3.19,6778,2121805
C&L01,West Lothian,2014-15,3.04,6657,2192301
C&L01,West Lothian,2015-16,2.9,6861,2366170
C&L01,West Lothian,2016-17,2.93,7248,2469929
C&L01,West Lothian,2017-18,1.68,4104,2447198
C&L01,West Lothian,2018-19,2.22,5656,2546572
C&L01,West Lothian,2019-20,1.9,4790,2515378
C&L01,West Lothian,2020-21,21.44,4501,209962
C&L01,West Lothian,2021-22,2.08,2986,1437783
C&L01,West Lothian,2022-23,1.47,3112,2120654
C&L01,West Lothian,2023-24,0.95,2074,2176555
C&L01,West Lothian,2024-25,0.68,1517,2240298
C&L02,Aberdeen City,2010-11,3.6,5695,1582483
C&L02,Aberdeen City,2011-12,2.47,3875,1570220
C&L02,Aberdeen City,2012-13,2.98,4413,1478728
C&L02,Aberdeen City,2013-14,2.46,4051,1647002
C&L02,Aberdeen City,2014-15,2.66,4060,1525986
C&L02,Aberdeen City,2015-16,3.57,3911,1094948
